step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
839,0.12231,0.98077,,
840,0.01535,0.9863,,
841,0.0028,1.0,,
842,0.14143,0.98413,,
843,0.00051,1.0,,
844,7e-05,1.0,,
845,0.0035,0.99851,,
846,0.01116,0.99631,,
847,0.00298,1.0,,
848,0.00145,1.0,,
849,0.0001,1.0,,
850,0.00585,1.0,,
851,0.00036,1.0,,
852,0.00193,1.0,,
853,0.01276,0.98551,,
854,0.03242,0.97436,,
855,0.35956,0.96296,,
856,0.06181,0.98864,,
857,0.11674,0.98561,,
858,0.00047,1.0,,
859,0.00082,1.0,,
860,0.00012,1.0,,
861,0.00052,1.0,,
862,0.03229,0.98592,,
863,0.00148,1.0,,
864,0.00089,1.0,,
865,0.00029,1.0,,
866,0.00455,0.99744,,
867,0.00204,1.0,,
868,0.00178,1.0,,
869,0.02906,0.98039,,
870,8e-05,1.0,,
871,0.03846,0.9771,,
872,0.00015,1.0,,
873,0.01123,0.99621,,
874,0.03263,0.9901,,
875,1e-05,1.0,,
876,1e-05,1.0,,
877,0.08249,0.98148,,
878,0.01317,0.98649,,
879,0.00049,1.0,,
880,0.06049,0.97297,,
881,4e-05,1.0,,
882,0.00217,1.0,,
883,0.00071,1.0,,
884,0.00818,1.0,,
885,0.03681,0.99756,,
886,5e-05,1.0,,
887,0.03073,0.98734,,
888,0.11561,0.98925,,
889,0.0022,1.0,,
890,0.01678,0.9931,,
891,0.00793,1.0,,
892,0.00033,1.0,,
893,0.00107,1.0,,
894,0.01545,0.98837,,
895,0.08021,0.96364,,
896,0.01493,0.98851,,
897,0.0062,1.0,,
898,0.0045,1.0,,
899,0.01372,0.99,,
900,0.25918,0.94545,0.0027,1.0
901,0.02249,0.99138,,
902,0.00132,1.0,,
903,0.09767,0.98413,,
904,7e-05,1.0,,
905,0.00036,1.0,,
906,0.00026,1.0,,
907,0.00065,1.0,,
908,2e-05,1.0,,
909,0.00134,1.0,,
910,0.00045,1.0,,
911,0.017,0.98851,,
912,0.13784,0.96154,,
913,0.03261,0.99315,,
914,0.00115,1.0,,
915,0.00129,1.0,,
916,1e-05,1.0,,
917,0.0,1.0,,
918,0.00686,1.0,,
919,0.04609,0.97561,,
920,0.00029,1.0,,
921,4e-05,1.0,,
922,0.24723,0.94444,,
923,0.00183,1.0,,
924,0.00617,1.0,,
925,0.13185,0.97414,,
926,0.00016,1.0,,
927,1e-05,1.0,,
928,0.05344,0.98936,,
929,6e-05,1.0,,
930,0.00015,1.0,,
931,0.00269,1.0,,
932,0.01709,0.98901,,
933,0.00016,1.0,,
934,0.00017,1.0,,
935,0.08057,0.98795,,
936,0.00027,1.0,,
937,0.01832,1.0,,
938,0.00265,1.0,,
939,0.02624,0.98571,,
940,0.00122,1.0,,
941,0.00889,0.99115,,
942,0.02922,0.99346,,
943,0.15946,0.96552,,
944,0.00061,1.0,,
945,0.00192,1.0,,
946,5e-05,1.0,,
947,0.01038,1.0,,
948,0.00022,1.0,,
949,5e-05,1.0,,
950,0.01112,0.98837,,
951,0.0265,0.97917,,
952,0.01082,0.98876,,
953,0.00412,0.99751,,
954,4e-05,1.0,,
955,0.15313,0.97753,,
956,0.00187,1.0,,
957,0.02779,0.9802,,
958,0.0,1.0,,
959,0.00322,1.0,,
960,0.13613,0.98039,,
961,0.03989,0.99265,,
962,0.01753,0.9931,,
963,0.00052,1.0,,
964,0.00047,1.0,,
965,0.00321,1.0,,
966,0.02265,0.99627,,
967,0.00076,1.0,,
968,2e-05,1.0,,
969,0.03656,0.96667,,
970,0.0008,1.0,,
971,0.02976,0.98592,,
972,0.00055,1.0,,
973,0.00341,1.0,,
974,0.00526,1.0,,
975,1e-05,1.0,,
976,0.00311,0.99708,,
977,0.00227,1.0,,
978,0.03544,0.99242,,
979,0.00057,1.0,,
980,0.01129,1.0,,
981,0.00554,1.0,,
982,4e-05,1.0,,
983,0.00018,1.0,,
984,0.29428,0.96512,,
985,0.00423,1.0,,
986,0.01143,0.99057,,
987,0.0003,1.0,,
988,1e-05,1.0,,
989,0.00072,1.0,,
990,0.02879,0.99115,,
991,0.08266,0.98718,,
992,0.00366,1.0,,
993,0.21325,0.97561,,
994,1e-05,1.0,,
995,0.0005,1.0,,
996,0.01183,1.0,,
997,0.04055,0.99481,,
998,0.03591,0.97468,,
999,0.1077,0.97059,,
1000,0.01038,1.0,0.00051,1.0
1001,1e-05,1.0,,
1002,0.0,1.0,,
1003,0.00259,1.0,,
